date,localisation,carburant_vehicule,nombre_réservations,taux_occupation,is_holiday,is_rainy,météo_temp,météo_précipitations,is_family_event
2024-08-01,Tunis,électrique,27,0.68,0,0,28.5,0.0,1
2024-08-01,Tunis,hybride,38,0.94,0,0,28.0,0.0,1
2024-08-01,Tunis,essence,24,0.78,0,0,25.6,0.0,1
2024-08-01,Tunis,diesel,18,0.44,0,0,24.2,0.0,1
2024-08-01,Sfax,électrique,23,0.75,0,0,24.0,0.0,1
2024-08-01,Sfax,hybride,16,0.71,0,0,20.6,0.0,1
2024-08-01,Sfax,essence,17,0.72,0,0,25.4,0.0,1
2024-08-01,Sfax,diesel,16,0.55,0,1,29.8,2.3,1
2024-08-01,Sousse,électrique,19,0.7,0,0,25.4,0.0,0
2024-08-01,Sousse,hybride,19,1.0,0,0,23.3,0.0,0
2024-08-01,Sousse,essence,13,0.83,0,0,27.7,0.0,0
2024-08-01,Sousse,diesel,10,0.82,0,0,26.1,0.0,0
2024-08-01,Bizerte,électrique,11,0.57,0,0,23.0,0.0,0
2024-08-01,Bizerte,hybride,10,0.6,0,1,25.8,8.7,0
2024-08-01,Bizerte,essence,8,0.84,0,0,30.1,0.0,0
2024-08-01,Bizerte,diesel,9,0.75,0,0,25.1,0.0,0
2024-08-01,Djerba,électrique,16,0.67,0,0,25.6,0.0,0
2024-08-01,Djerba,hybride,13,0.69,0,0,24.3,0.0,0
2024-08-01,Djerba,essence,12,0.6,0,0,28.1,0.0,0
2024-08-01,Djerba,diesel,8,0.31,0,0,28.0,0.0,0
2024-08-02,Tunis,électrique,40,0.66,0,0,27.3,0.0,1
2024-08-02,Tunis,hybride,29,0.92,0,0,27.1,0.0,1
2024-08-02,Tunis,essence,28,0.62,0,0,24.6,0.0,1
2024-08-02,Tunis,diesel,25,0.62,0,0,30.5,0.0,1
2024-08-02,Sfax,électrique,27,0.85,0,0,27.3,0.0,1
2024-08-02,Sfax,hybride,15,0.64,0,0,29.0,0.0,1
2024-08-02,Sfax,essence,14,0.74,0,1,27.9,1.4,1
2024-08-02,Sfax,diesel,18,0.77,0,0,25.7,0.0,1
2024-08-02,Sousse,électrique,14,0.4,0,0,27.6,0.0,0
2024-08-02,Sousse,hybride,9,0.7,0,0,26.8,0.0,0
2024-08-02,Sousse,essence,10,0.55,0,1,23.8,1.9,0
2024-08-02,Sousse,diesel,11,0.67,0,0,27.0,0.0,0
2024-08-02,Bizerte,électrique,11,0.52,0,0,26.9,0.0,0
2024-08-02,Bizerte,hybride,8,0.82,0,0,23.6,0.0,0
2024-08-02,Bizerte,essence,6,0.49,0,0,31.2,0.0,0
2024-08-02,Bizerte,diesel,6,0.55,0,0,27.2,0.0,0
2024-08-02,Djerba,électrique,13,0.62,0,0,27.3,0.0,0
2024-08-02,Djerba,hybride,11,0.54,0,0,25.9,0.0,0
2024-08-02,Djerba,essence,10,0.93,0,0,24.2,0.0,0
2024-08-02,Djerba,diesel,7,0.82,0,0,24.3,0.0,0
2024-08-03,Tunis,électrique,47,0.9,0,0,27.7,0.0,1
2024-08-03,Tunis,hybride,45,0.74,0,0,26.4,0.0,1
2024-08-03,Tunis,essence,34,0.5,0,0,23.3,0.0,1
2024-08-03,Tunis,diesel,36,0.73,0,1,30.7,0.4,1
2024-08-03,Sfax,électrique,23,0.52,0,0,27.5,0.0,1
2024-08-03,Sfax,hybride,21,0.59,0,0,29.0,0.0,1
2024-08-03,Sfax,essence,33,0.89,0,0,29.3,0.0,1
2024-08-03,Sfax,diesel,18,0.57,0,1,32.7,0.9,1
2024-08-03,Sousse,électrique,27,0.75,0,0,26.8,0.0,0
2024-08-03,Sousse,hybride,26,0.66,0,0,28.6,0.0,0
2024-08-03,Sousse,essence,15,0.57,0,0,28.9,0.0,0
2024-08-03,Sousse,diesel,16,0.67,0,0,26.6,0.0,0
2024-08-03,Bizerte,électrique,13,0.69,0,0,28.4,0.0,0
2024-08-03,Bizerte,hybride,13,0.63,0,0,29.3,0.0,0
2024-08-03,Bizerte,essence,11,0.51,0,0,27.6,0.0,0
2024-08-03,Bizerte,diesel,10,0.86,0,1,32.3,1.9,0
2024-08-03,Djerba,électrique,14,0.86,0,0,29.6,0.0,0
2024-08-03,Djerba,hybride,16,0.75,0,0,24.2,0.0,0
