vehicle_id,timestamp,temperature,vibration,fuel_consumption,mileage,engine_hours,battery_health,fuel_type
vehicle_1,2025-07-04T23:15:41.684798,83.0,1.35,7.17,97978,0.0,85.0,essence
vehicle_1,2025-07-04T20:51:41.684798,89.94,1.65,6.81,97983,0.2,84.95,essence
vehicle_1,2025-07-04T18:27:41.684798,89.9,1.49,6.69,97988,0.4,84.9,essence
vehicle_1,2025-07-04T16:03:41.684798,87.43,1.57,7.46,97993,0.6,84.85,essence
vehicle_1,2025-07-04T13:39:41.684798,85.31,1.43,7.37,97998,0.8,84.8,essence
vehicle_1,2025-07-04T11:15:41.684798,84.64,1.38,7.22,98003,1.0,84.75,essence
vehicle_1,2025-07-04T08:51:41.684798,85.4,1.53,6.64,98008,1.2,84.7,essence
vehicle_1,2025-07-04T06:27:41.684798,86.38,1.66,7.2,98013,1.4,84.65,essence
vehicle_1,2025-07-04T04:03:41.684798,80.44,1.32,7.15,98018,1.6,84.6,essence
vehicle_1,2025-07-04T01:39:41.684798,80.33,1.62,7.01,98023,1.8,84.55,essence
vehicle_1,2025-07-05T23:15:41.684798,82.04,1.61,7.17,98028,2.0,84.5,essence
vehicle_1,2025-07-05T20:51:41.684798,84.23,1.55,6.57,98033,2.2,84.45,essence
vehicle_1,2025-07-05T18:27:41.684798,84.53,1.55,7.1,98038,2.4,84.4,essence
vehicle_1,2025-07-05T16:03:41.684798,82.49,1.33,7.44,98043,2.6,84.35,essence
vehicle_1,2025-07-05T13:39:41.684798,88.74,1.42,6.91,98048,2.8,84.3,essence
vehicle_1,2025-07-05T11:15:41.684798,84.84,1.4,7.18,98053,3.0,84.25,essence
vehicle_1,2025-07-05T08:51:41.684798,80.93,1.71,7.49,98058,3.2,84.2,essence
vehicle_1,2025-07-05T06:27:41.684798,84.24,1.38,7.48,98063,3.4,84.15,essence
vehicle_1,2025-07-05T04:03:41.684798,87.7,1.58,6.75,98068,3.6,84.1,essence
vehicle_1,2025-07-05T01:39:41.684798,87.71,1.36,6.58,98073,3.8,84.05,essence
vehicle_1,2025-07-06T23:15:41.684798,86.21,1.48,7.16,98078,4.0,84.0,essence
vehicle_1,2025-07-06T20:51:41.684798,85.9,1.42,6.88,98083,4.2,83.95,essence
vehicle_1,2025-07-06T18:27:41.684798,90.82,1.41,6.65,98088,4.4,83.9,essence
vehicle_1,2025-07-06T16:03:41.684798,90.27,1.36,7.36,98093,4.6,83.85,essence
vehicle_1,2025-07-06T13:39:41.684798,85.34,1.5,6.93,98098,4.8,83.8,essence
vehicle_1,2025-07-06T11:15:41.684798,84.15,1.59,7.3,98103,5.0,83.75,essence
vehicle_1,2025-07-06T08:51:41.684798,84.78,1.7,7.44,98108,5.2,83.7,essence
vehicle_1,2025-07-06T06:27:41.684798,86.1,1.39,7.17,98113,5.4,83.65,essence
vehicle_1,2025-07-06T04:03:41.684798,90.8,1.52,7.51,98118,5.6,83.6,essence
vehicle_1,2025-07-06T01:39:41.684798,86.74,1.42,6.75,98123,5.8,83.55,essence
vehicle_1,2025-07-07T23:15:41.684798,85.96,1.52,7.11,98128,6.0,83.5,essence
vehicle_1,2025-07-07T20:51:41.684798,87.67,1.5,7.4,98133,6.2,83.45,essence
vehicle_1,2025-07-07T18:27:41.684798,87.04,1.73,7.02,98138,6.4,83.4,essence
vehicle_1,2025-07-07T16:03:41.684798,86.22,1.48,7.28,98143,6.6,83.35,essence
